company,title,sector,location,career,education,category
(주)트랜스코스모스코리아,[3개월 단기/데이터라벨링] AI관련 데이터 작업자 채용,데이터분석가백엔드/서버개발데이터라벨링딥러닝머신러닝 외,서울 강남구,경력무관 · 파견직,학력무관,Data Analysis
(주)사람인에이치에스,[연봉협의/식대지원] IT 프로젝트 매니저(PM) 채용,기술지원데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외,서울전체 외,경력(년수무관) · 계약직,학력무관,Data Engineer
(주)사람인에이치에스,[연봉협의/식대지원] IT 프로젝트 매니저/운영 엔지니어 채용,기술지원데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외,서울전체 외,경력(년수무관) · 계약직,학력무관,Data Engineer
(주)프로써치코리아,(제조 AI 솔루션업체) Engineer 및 PM 직무채용,데이터분석가데이터엔지니어빅데이터솔루션데이터 사이언티스트,서울 서초구,2 ~ 20년 · 정규직,학력무관,Data Analysis
굿커리어,"AI기업 GPU 클러스터구축 PL(영어) 차장,부장급 구함(굿커리어)",기술지원데이터분석가데이터엔지니어유지보수IT컨설팅 외,서울 강남구,10 ~ 20년 · 정규직,대학교(4년)↑,Data Analysis
테크바이오기업 프론트엔드 개발,테크바이오기업 프론트엔드 개발,데이터분석가데이터엔지니어백엔드/서버개발프론트엔드제약/바이오 외,서울전체 외,2 ~ 5년 · 정규직,대학교(4년)↑,Data Analysis
테크바이오기업 백엔드 개발,테크바이오기업 백엔드 개발,데이터분석가데이터엔지니어백엔드/서버개발프론트엔드제약/바이오 외,서울전체 외,2 ~ 5년 · 정규직,대학교(4년)↑,Data Analysis
바이오데이터 개발시니어(리드),바이오데이터 개발시니어(리드),데이터분석가데이터엔지니어백엔드/서버개발프론트엔드제약/바이오 외,서울전체 외,경력 7년↑ · 정규직,대학교(4년)↑,Data Analysis
(주)맨파워그룹코리아,[신입가능] 명품 브랜드 'C'사 CRM 데이터 코디네이터,기술지원데이터분석가데이터엔지니어유지보수IT컨설팅 외,서울 중구,경력무관 · 계약직 외,대학교(4년)↑,Data Analysis
(주)사람인에이치에스,[매출액4조/대기업건설사] 디지털 AI 전략 기획 경력직 채용,데이터분석가데이터엔지니어IT컨설팅데이터마이닝데이터시각화 외,서울전체 외,경력 5년↑ · 계약직,대학교(4년)↑,Data Analysis
베스트네트워크㈜,05. Game Security Data Scientist [유명 IT/Tech기업],데이터분석가데이터엔지니어데이터 사이언티스트,서울 강남구,경력 5년↑ · 정규직 외,대학교(4년)↑,Data Analysis
㈜선정인터내셔날,[터미널명령어/파이썬] KT AI모델 품질평가 및 데이터 정제/검증,데이터분석가데이터엔지니어백엔드/서버개발DBA데이터라벨링 외,서울 서초구,신입 · 경력 · 정규직 외,"대학(2,3년)↑",Data Analysis
테크바이오기업 백엔드 개발자(2~5년),테크바이오기업 백엔드 개발자(2~5년),데이터분석가데이터엔지니어백엔드/서버개발프론트엔드AI(인공지능) 외,서울전체 외,2 ~ 5년 · 정규직,대학교(4년)↑,Data Analysis
테크바이오기업 시니어 개발자,테크바이오기업 시니어 개발자,데이터분석가데이터엔지니어백엔드/서버개발프론트엔드AI(인공지능) 외,서울전체 외,7 ~ 12년 · 정규직,대학교(4년)↑,Data Analysis
(주)사람인에이치에스,[연봉협의/식대지원] IT 프로젝트 매니저 채용,기술지원데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외,서울전체 외,경력(년수무관) · 계약직,학력무관,Data Engineer
(주)투비파트너즈,[TOP제약유통] 헬스케어 데이터 팀장급 Analytics Lead 10년~,데이터분석가데이터엔지니어데이터마이닝데이터시각화모델링 외,서울 서초구,9 ~ 15년 · 정규직,대학교(4년)↑,Data Analysis
